observation_date,MDMONT0POP
1970-01-01,522.809
1971-01-01,534.400
1972-01-01,552.200
1973-01-01,559.100
1974-01-01,564.000
1975-01-01,577.000
1976-01-01,579.500
1977-01-01,580.800
1978-01-01,584.300
1979-01-01,581.800
1980-01-01,579.053
1981-01-01,592.873
1982-01-01,600.479
1983-01-01,614.213
1984-01-01,632.915
1985-01-01,652.945
1986-01-01,675.784
1987-01-01,703.273
1988-01-01,731.351
1989-01-01,749.638
1990-01-01,765.476
1991-01-01,775.490
1992-01-01,786.437
1993-01-01,797.654
1994-01-01,805.835
1995-01-01,815.022
1996-01-01,824.793
1997-01-01,835.432
1998-01-01,847.596
1999-01-01,862.350
2000-01-01,877.830
2001-01-01,893.658
2002-01-01,906.488
2003-01-01,915.237
2004-01-01,921.069
2005-01-01,928.903
2006-01-01,935.013
2007-01-01,941.491
2008-01-01,953.478
2009-01-01,970.647
2010-01-01,975.619
2011-01-01,991.325
2012-01-01,1005.310
2013-01-01,1015.534
2014-01-01,1025.063
2015-01-01,1033.370
2016-01-01,1039.327
2017-01-01,1047.239
2018-01-01,1048.794
2019-01-01,1051.129
2020-01-01,1060.926
2021-01-01,1055.869
2022-01-01,1058.546
2023-01-01,1064.369
2024-01-01,1073.045
2025-01-01,1074.582
